Filme;Regressao_Logistica;Arvore_Decisao;Floresta_Aleatoria;Todos_Modelos_Previram_Vencedor;Todos_Modelos_Previram_Perda
Argo;1;1;1;True;False
Birdman;1;1;1;True;False
CODA;1;1;1;True;False
Everything Everywhere All at Once;1;1;1;True;False
Little Miss Sunshine;1;1;1;True;False
No Country for Old Men;1;1;1;True;False
Nomadland;1;1;1;True;False
Oppenheimer;1;1;1;True;False
Slumdog Millionaire;1;1;1;True;False
The Artist;1;1;1;True;False
The Hurt Locker;1;1;1;True;False
The King's Speech;1;1;1;True;False
The Lord of the Rings: The Return of the King;1;1;1;True;False
The Shape of Water;1;1;1;True;False
