Filme;Regressao_Logistica;Arvore_Decisao;Floresta_Aleatoria;Todos_Modelos_Previram_Vencedor;Todos_Modelos_Previram_Perda
A Different Man;0;0;0;False;True
A Most Violent Year;0;0;0;False;True
A Star Is Born;0;0;0;False;True
All Quiet on the Western Front;0;0;0;False;True
American Hustle;0;0;0;False;True
Atonement;0;0;0;False;True
Avatar;0;0;0;False;True
Babel;0;0;0;False;True
Beginners The Tree of Life;0;0;0;False;True
Black Panther;0;0;0;False;True
Bohemian Rhapsody;0;0;0;False;True
Boyhood;0;0;0;False;True
Call Me by Your Name;0;0;0;False;True
Capote;0;0;0;False;True
Crash;0;0;0;False;True
Da 5 Bloods;0;0;0;False;True
Dreamgirls;0;0;0;False;True
Emilia Perez;0;0;0;False;True
Finding Neverland;0;0;0;False;True
Ford vs. Ferrari;0;0;0;False;True
Fox Searchlight Pictures;0;0;0;False;True
Frozen River;0;0;0;False;True
Gisaengchung;0;0;0;False;True
God's Own Country;0;0;0;False;True
Good Night;0;0;0;False;True
Gravity;0;0;0;False;True
Half Nelson;0;0;0;False;True
Happy-Go-Lucky;0;0;0;False;True
Her;0;0;0;False;True
Hidden Figures;0;0;0;False;True
Hotel Ruanda;0;0;0;False;True
Hugo;0;0;0;False;True
If Beale Street Could Talk;0;0;0;False;True
Inglourious Basterds;0;0;0;False;True
Inside Llewyn Davis;0;0;0;False;True
Into the Wild;0;0;0;False;True
Juno;0;0;0;False;True
Killers of the Flower Moon;0;0;0;False;True
Letters from Iwo Jima;0;0;0;False;True
Licorice Pizza;0;0;0;False;True
Mad Max: Fury Road;0;0;0;False;True
Manchester by the Sea;0;0;0;False;True
Marriage Story;0;0;0;False;True
Million Dollar Baby;0;0;0;False;True
Moonrise Kingdom;0;0;0;False;True
Nine;0;0;0;False;True
Once Upon a Time in Hollywood;0;0;0;False;True
Past Lives;0;0;0;False;True
Roma;0;0;0;False;True
Scott Pilgrim vs. the World;0;0;0;False;True
Sideways;0;0;0;False;True
Silver Linings;0;0;0;False;True
Spotlight;0;0;0;False;True
The Aviator;0;0;0;False;True
The Big Short;0;0;0;False;True
The Descendants;0;0;0;False;True
The Fabelmans;0;0;0;False;True
The Forty-Year-Old Version;0;0;0;False;True
The Help;0;0;0;False;True
The Holdovers;0;0;0;False;True
The Irishman;0;0;0;False;True
The Lost Daughter;0;0;0;False;True
The Post;0;0;0;False;True
The Power of the Dog;0;0;0;False;True
The Queen;0;0;0;False;True
The Revenant;0;0;0;False;True
The Rider;0;0;0;False;True
The Social Network;0;0;0;False;True
The Trial of the Chicago 7;0;0;0;False;True
Three Billboards Outside Ebbing;0;0;0;False;True
Tick Tick... Boom!;0;0;0;False;True
Top Gun: Maverick;0;0;0;False;True
Up in the Air;0;0;0;False;True
Walk the line;0;0;0;False;True
Wicked;0;0;0;False;True
Winter's Bone;0;0;0;False;True
Zero Dark Thirty;0;0;0;False;True
