Filme;Regressao_Logistica;Arvore_Decisao;Floresta_Aleatoria;Todos_Modelos_Previram_Vencedor;Todos_Modelos_Previram_Perda
1917;1;0;0;False;False
12 Years a Slave;0;1;1;False;False
A Different Man;0;0;0;False;True
A Most Violent Year;0;0;0;False;True
A Star Is Born;0;0;0;False;True
All Quiet on the Western Front;0;0;0;False;True
American Hustle;0;0;0;False;True
Argo;1;1;1;True;False
Atonement;0;0;0;False;True
Avatar;0;0;0;False;True
Babel;0;0;0;False;True
Beginners The Tree of Life;0;0;0;False;True
Birdman;1;1;1;True;False
Black Panther;0;0;0;False;True
Bohemian Rhapsody;0;0;0;False;True
Boyhood;0;0;0;False;True
Brokeback Mountain;1;0;0;False;False
Call Me by Your Name;0;0;0;False;True
Capote;0;0;0;False;True
CODA;1;1;1;True;False
Crash;0;0;0;False;True
Da 5 Bloods;0;0;0;False;True
Dreamgirls;0;0;0;False;True
Emilia Perez;0;0;0;False;True
Everything Everywhere All at Once;1;1;1;True;False
Finding Neverland;0;0;0;False;True
Ford vs. Ferrari;0;0;0;False;True
Fox Searchlight Pictures;0;0;0;False;True
Frozen River;0;0;0;False;True
Gisaengchung;0;0;0;False;True
God's Own Country;0;0;0;False;True
Good Night;0;0;0;False;True
Gravity;0;0;0;False;True
Green Book;0;1;1;False;False
Half Nelson;0;0;0;False;True
Happy-Go-Lucky;0;0;0;False;True
Her;0;0;0;False;True
Hidden Figures;0;0;0;False;True
Hotel Ruanda;0;0;0;False;True
Hugo;0;0;0;False;True
If Beale Street Could Talk;0;0;0;False;True
Inglourious Basterds;0;0;0;False;True
Inside Llewyn Davis;0;0;0;False;True
Into the Wild;0;0;0;False;True
Juno;0;0;0;False;True
Killers of the Flower Moon;0;0;0;False;True
La La Land;1;0;0;False;False
Letters from Iwo Jima;0;0;0;False;True
Licorice Pizza;0;0;0;False;True
Little Miss Sunshine;1;1;1;True;False
Mad Max: Fury Road;0;0;0;False;True
Manchester by the Sea;0;0;0;False;True
Marriage Story;0;0;0;False;True
Million Dollar Baby;0;0;0;False;True
Moonlight;0;1;1;False;False
Moonrise Kingdom;0;0;0;False;True
Nine;0;0;0;False;True
No Country for Old Men;1;1;1;True;False
Nomadland;1;1;1;True;False
Once Upon a Time in Hollywood;0;0;0;False;True
Oppenheimer;1;1;1;True;False
Past Lives;0;0;0;False;True
Roma;0;0;0;False;True
Scott Pilgrim vs. the World;0;0;0;False;True
Sideways;0;0;0;False;True
Silver Linings;0;0;0;False;True
Slumdog Millionaire;1;1;1;True;False
Spotlight;0;0;0;False;True
The Artist;1;1;1;True;False
The Aviator;0;0;0;False;True
The Big Short;0;0;0;False;True
The Departed;0;1;1;False;False
The Descendants;0;0;0;False;True
The Fabelmans;0;0;0;False;True
The Forty-Year-Old Version;0;0;0;False;True
The Help;0;0;0;False;True
The Holdovers;0;0;0;False;True
The Hurt Locker;1;1;1;True;False
The Irishman;0;0;0;False;True
The King's Speech;1;1;1;True;False
The Lord of the Rings: The Return of the King;1;1;1;True;False
The Lost Daughter;0;0;0;False;True
The Post;0;0;0;False;True
The Power of the Dog;0;0;0;False;True
The Queen;0;0;0;False;True
The Revenant;0;0;0;False;True
The Rider;0;0;0;False;True
The Shape of Water;1;1;1;True;False
The Social Network;0;0;0;False;True
The Trial of the Chicago 7;0;0;0;False;True
Three Billboards Outside Ebbing;0;0;0;False;True
Tick Tick... Boom!;0;0;0;False;True
Top Gun: Maverick;0;0;0;False;True
Up in the Air;0;0;0;False;True
Walk the line;0;0;0;False;True
Wicked;0;0;0;False;True
Winter's Bone;0;0;0;False;True
Zero Dark Thirty;0;0;0;False;True
