Filme;Previsto
1917;Vencedor
12 Years a Slave;Não Vencedor
A Most Violent Year;Não Vencedor
A Star Is Born;Não Vencedor
All Quiet on the Western Front;Não Vencedor
American Hustle;Não Vencedor
Argo;Vencedor
Atonement;Não Vencedor
Avatar;Não Vencedor
Babel;Não Vencedor
Beginners The Tree of Life;Não Vencedor
Birdman;Vencedor
Black Panther;Não Vencedor
Bohemian Rhapsody;Não Vencedor
Boyhood;Não Vencedor
Brokeback Mountain;Vencedor
Call Me by Your Name;Não Vencedor
Capote;Não Vencedor
CODA;Vencedor
Crash;Não Vencedor
Da 5 Bloods;Não Vencedor
Dreamgirls;Não Vencedor
Everything Everywhere All at Once;Vencedor
Finding Neverland;Não Vencedor
Ford vs. Ferrari;Não Vencedor
Fox Searchlight Pictures;Não Vencedor
Frozen River;Não Vencedor
Gisaengchung;Não Vencedor
God's Own Country;Não Vencedor
Good Night;Não Vencedor
Gravity;Não Vencedor
Green Book;Não Vencedor
Half Nelson;Não Vencedor
Happy-Go-Lucky;Não Vencedor
Her;Não Vencedor
Hidden Figures;Não Vencedor
Hotel Ruanda;Não Vencedor
Hugo;Não Vencedor
If Beale Street Could Talk;Não Vencedor
Inglourious Basterds;Não Vencedor
Inside Llewyn Davis;Não Vencedor
Into the Wild;Não Vencedor
Juno;Não Vencedor
Killers of the Flower Moon;Não Vencedor
La La Land;Vencedor
Letters from Iwo Jima;Não Vencedor
Licorice Pizza;Não Vencedor
Little Miss Sunshine;Vencedor
Mad Max: Fury Road;Não Vencedor
Manchester by the Sea;Não Vencedor
Marriage Story;Não Vencedor
Million Dollar Baby;Não Vencedor
Moonlight;Não Vencedor
Moonrise Kingdom;Não Vencedor
Nine;Não Vencedor
No Country for Old Men;Vencedor
Nomadland;Vencedor
Once Upon a Time in Hollywood;Não Vencedor
Oppenheimer;Vencedor
Past Lives;Não Vencedor
Roma;Não Vencedor
Scott Pilgrim vs. the World;Não Vencedor
Sideways;Não Vencedor
Silver Linings;Não Vencedor
Slumdog Millionaire;Vencedor
Spotlight;Não Vencedor
The Artist;Vencedor
The Aviator;Não Vencedor
The Big Short;Não Vencedor
The Departed;Não Vencedor
The Descendants;Não Vencedor
The Fabelmans;Não Vencedor
The Forty-Year-Old Version;Não Vencedor
The Help;Não Vencedor
The Holdovers;Não Vencedor
The Hurt Locker;Vencedor
The Irishman;Não Vencedor
The King's Speech;Vencedor
The Lord of the Rings: The Return of the King;Vencedor
The Lost Daughter;Não Vencedor
The Post;Não Vencedor
The Power of the Dog;Não Vencedor
The Queen;Não Vencedor
The Revenant;Não Vencedor
The Rider;Não Vencedor
The Shape of Water;Vencedor
The Social Network;Não Vencedor
The Trial of the Chicago 7;Não Vencedor
Three Billboards Outside Ebbing;Não Vencedor
Tick Tick... Boom!;Não Vencedor
Top Gun: Maverick;Não Vencedor
Up in the Air;Não Vencedor
Walk the line;Não Vencedor
Winter's Bone;Não Vencedor
Zero Dark Thirty;Não Vencedor
