Filme;Regressao_Logistica;ARVORE_DECISAO;FLORESTA_ALEATORIA;Real
The Big Short;0;1;1;0
Everything Everywhere All at Once;1;1;1;1
The Forty-Year-Old Version;0;0;0;0
The Help;0;0;0;0
1917;1;1;1;0
Frozen River;0;0;0;0
Inside Llewyn Davis;0;0;0;0
Juno;0;0;0;0
Beginners The Tree of Life;0;0;0;0
Letters from Iwo Jima;0;0;0;0
The Rider;0;0;0;0
No Country for Old Men;1;1;1;1
The Power of the Dog;0;0;0;0
Little Miss Sunshine;1;1;1;0
Black Panther;0;0;0;0
All Quiet on the Western Front;0;0;0;0
CODA;1;1;1;1
God's Own Country;0;0;0;0
Inglourious Basterds;0;0;0;0
