Filme;Previsao;Chance_Vitoria_%;Modelo
1917;1;68.43;Regressao_Logistica
12 Years a Slave;0;30.22;Regressao_Logistica
A Most Violent Year;0;6.89;Regressao_Logistica
A Star Is Born;0;7.41;Regressao_Logistica
All Quiet on the Western Front;0;6.87;Regressao_Logistica
American Hustle;0;30.65;Regressao_Logistica
Argo;1;90.91;Regressao_Logistica
Atonement;0;8.34;Regressao_Logistica
Avatar;0;10.58;Regressao_Logistica
Babel;0;10.58;Regressao_Logistica
Beginners The Tree of Life;0;13.01;Regressao_Logistica
Birdman;1;93.2;Regressao_Logistica
Black Panther;0;30.65;Regressao_Logistica
Bohemian Rhapsody;0;10.58;Regressao_Logistica
Boyhood;0;8.34;Regressao_Logistica
Brokeback Mountain;1;64.4;Regressao_Logistica
Call Me by Your Name;0;13.01;Regressao_Logistica
Capote;0;13.01;Regressao_Logistica
CODA;1;71.58;Regressao_Logistica
Crash;0;30.65;Regressao_Logistica
Da 5 Bloods;0;6.89;Regressao_Logistica
Dreamgirls;0;7.41;Regressao_Logistica
Everything Everywhere All at Once;1;93.2;Regressao_Logistica
Finding Neverland;0;6.89;Regressao_Logistica
Ford vs. Ferrari;0;7.41;Regressao_Logistica
Fox Searchlight Pictures;0;13.01;Regressao_Logistica
Frozen River;0;13.01;Regressao_Logistica
Gisaengchung;0;30.65;Regressao_Logistica
God's Own Country;0;7.41;Regressao_Logistica
Good Night;0;6.89;Regressao_Logistica
Gravity;0;28.58;Regressao_Logistica
Green Book;0;29.67;Regressao_Logistica
Half Nelson;0;13.01;Regressao_Logistica
Happy-Go-Lucky;0;7.41;Regressao_Logistica
Her;0;6.89;Regressao_Logistica
Hidden Figures;0;30.65;Regressao_Logistica
Hotel Ruanda;0;7.41;Regressao_Logistica
Hugo;0;6.89;Regressao_Logistica
If Beale Street Could Talk;0;7.41;Regressao_Logistica
Inglourious Basterds;0;30.65;Regressao_Logistica
Inside Llewyn Davis;0;13.01;Regressao_Logistica
Into the Wild;0;13.01;Regressao_Logistica
Juno;0;7.41;Regressao_Logistica
Killers of the Flower Moon;0;6.89;Regressao_Logistica
La La Land;1;59.44;Regressao_Logistica
Letters from Iwo Jima;0;6.89;Regressao_Logistica
Licorice Pizza;0;6.89;Regressao_Logistica
Little Miss Sunshine;1;71.58;Regressao_Logistica
Mad Max: Fury Road;0;6.89;Regressao_Logistica
Manchester by the Sea;0;5.82;Regressao_Logistica
Marriage Story;0;13.01;Regressao_Logistica
