Filme;Regressao Logistica_Chance_%;Arvore de Decisao_Chance_%;Floresta Aleatoria_Chance_%;Regressao Logistica_Vencedor;Arvore de Decisao_Vencedor;Floresta Aleatoria_Vencedor
Anora;63.79;100.0;90.17;Sim;Sim;Sim
Emilia Pérez;8.34;0.0;3.0;Nao;Nao;Nao
Um Completo Desconhecido;8.74;0.0;11.29;Nao;Nao;Nao
Conclave;25.39;0.0;29.58;Nao;Nao;Nao
Nickel Boys;23.62;50.0;31.98;Nao;Nao;Nao
Ainda Estou Aqui;8.74;0.0;11.29;Nao;Nao;Nao
A Substância;8.74;0.0;11.29;Nao;Nao;Nao
Duna 2;6.87;0.0;2.83;Nao;Nao;Nao
Wicked;29.66;40.0;15.3;Nao;Nao;Nao
O Brutalista;10.58;0.0;1.0;Nao;Nao;Nao
