Ano;Premiacao;Filme
2004;BAFTA Award for Best Film;The Aviator
2005;BAFTA Award for Best Film;Brokeback Mountain
2006;BAFTA Award for Best Film;The Queen
2007;BAFTA Award for Best Film;Atonement
2008;BAFTA Award for Best Film;Slumdog Millionaire
2009;BAFTA Award for Best Film;The Hurt Locker
2010;BAFTA Award for Best Film;The King's Speech
2011;BAFTA Award for Best Film;The Artist
2012;BAFTA Award for Best Film;Argo
2013;BAFTA Award for Best Film;12 Years a Slave
2014;BAFTA Award for Best Film;Boyhood
2015;BAFTA Award for Best Film;The Revenant
2016;BAFTA Award for Best Film;La La Land
2017;BAFTA Award for Best Film;"Three Billboards Outside Ebbing; Missouri"
2018;BAFTA Award for Best Film;Roma
2019;BAFTA Award for Best Film;1917
2020;BAFTA Award for Best Film;Nomadland
2021;BAFTA Award for Best Film;The Power of the Dog
2022;BAFTA Award for Best Film;All Quiet on the Western Front
2023;BAFTA Award for Best Film;Oppenheimer

