Ano;Premiacao;Filme
2004;DGA Awards - Melhor Direção;Million Dollar Baby
2005;DGA Awards - Melhor Direção;Brokeback Mountain
2006;DGA Awards - Melhor Direção;The Departed
2007;DGA Awards - Melhor Direção;No Country for Old Men
2008;DGA Awards - Melhor Direção;Slumdog Millionaire
2009;DGA Awards - Melhor Direção;The Hurt Locker
2010;DGA Awards - Melhor Direção;The King's Speech
2011;DGA Awards - Melhor Direção;The Artist
2012;DGA Awards - Melhor Direção;Argo
2013;DGA Awards - Melhor Direção;Gravity
2014;DGA Awards - Melhor Direção;Birdman or (The Unexpected Virtue of Ignorance)
2015;DGA Awards - Melhor Direção;The Revenant
2016;DGA Awards - Melhor Direção;La La Land
2017;DGA Awards - Melhor Direção;The Shape of Water
2018;DGA Awards - Melhor Direção;Roma
2019;DGA Awards - Melhor Direção;1917
2020;DGA Awards - Melhor Direção;Nomadland
2021;DGA Awards - Melhor Direção;The Power of the Dog
2022;DGA Awards - Melhor Direção;Everything Everywhere All at Once
2023;DGA Awards - Melhor Direção;Oppenheimer
2024;DGA Awards - Melhor Direção;Emilia Pérez
