Ano;Premiacao;Filme
2004;Globo de Ouro de Melhor Filme de Drama;The Aviator
2005;Globo de Ouro de Melhor Filme de Drama;O Segredo de Brokeback Mountain
2006;Globo de Ouro de Melhor Filme de Drama;Babel
2007;Globo de Ouro de Melhor Filme de Drama;Atonement
2008;Globo de Ouro de Melhor Filme de Drama;Slumdog Millionaire
2009;Globo de Ouro de Melhor Filme de Drama;Avatar
2010;Globo de Ouro de Melhor Filme de Drama;A Rede Social
2011;Globo de Ouro de Melhor Filme de Drama;Os Descendentes
2012;Globo de Ouro de Melhor Filme de Drama;Argo
2013;Globo de Ouro de Melhor Filme de Drama;12 Anos de Escravidão / 12 Anos Escravo
2014;Globo de Ouro de Melhor Filme de Drama;Boyhood
2015;Globo de Ouro de Melhor Filme de Drama;O Regresso / The Revenant: O Renascido
2016;Globo de Ouro de Melhor Filme de Drama;Moonlight: Sob a Luz do Luar / Moonlight
2017;Globo de Ouro de Melhor Filme de Drama;"Three Billboards Outside Ebbing; Missouri"
2018;Globo de Ouro de Melhor Filme de Drama;Bohemian Rhapsody
2019;Globo de Ouro de Melhor Filme de Drama;1917
2020;Globo de Ouro de Melhor Filme de Drama;Nomadland
2021;Globo de Ouro de Melhor Filme de Drama;The Power of the Dog
2022;Globo de Ouro de Melhor Filme de Drama;Os Fabelmans
2023;Globo de Ouro de Melhor Filme de Drama;Oppenheimer
