Ano;Premiacao;Filme
1990;Producers Guild of America de Melhor Filme;Driving Miss Daisy
1991;Producers Guild of America de Melhor Filme;Dances with Wolves
1992;Producers Guild of America de Melhor Filme;The Silence of the Lambs
1993;Producers Guild of America de Melhor Filme;The Crying Game
1994;Producers Guild of America de Melhor Filme;Schindler's List
1995;Producers Guild of America de Melhor Filme;Forrest Gump
1996;Producers Guild of America de Melhor Filme;Apollo 13
1997;Producers Guild of America de Melhor Filme;The English Patient
1998;Producers Guild of America de Melhor Filme;Titanic
1999;Producers Guild of America de Melhor Filme;Saving Private Ryan
2000;Producers Guild of America de Melhor Filme;American Beauty
2001;Producers Guild of America de Melhor Filme;Gladiator
2002;Producers Guild of America de Melhor Filme;Moulin Rouge!
2003;Producers Guild of America de Melhor Filme;Chicago
2004;Producers Guild of America de Melhor Filme;The Lord of the Rings: The Return of the King
2005;Producers Guild of America de Melhor Filme;The Aviator
2006;Producers Guild of America de Melhor Filme;Brokeback Mountain
2007;Producers Guild of America de Melhor Filme;Little Miss Sunshine
2008;Producers Guild of America de Melhor Filme;No Country for Old Men
2009;Producers Guild of America de Melhor Filme;Slumdog Millionaire
2010;Producers Guild of America de Melhor Filme;The Hurt Locker
2011;Producers Guild of America de Melhor Filme;The King's Speech
2012;Producers Guild of America de Melhor Filme;The Artist
2013;Producers Guild of America de Melhor Filme;Argo
2014;Producers Guild of America de Melhor Filme;12 Years a Slave
2015;Producers Guild of America de Melhor Filme;Birdman or (The Unexpected Virtue of Ignorance)
2016;Producers Guild of America de Melhor Filme;The Big Short
2017;Producers Guild of America de Melhor Filme;La La Land
2018;Producers Guild of America de Melhor Filme;The Shape of Water
2019;Producers Guild of America de Melhor Filme;Green Book
2020;Producers Guild of America de Melhor Filme;1917
2021;Producers Guild of America de Melhor Filme;Nomadland
2022;Producers Guild of America de Melhor Filme;CODA
2023;Producers Guild of America de Melhor Filme;Everything Everywhere All at Once
