Ano;Premiacao;Filme
2004;SAG Awards - Melhor Elenco;The Lord of the Rings: The Return of the King
2005;SAG Awards - Melhor Elenco;Sideways
2006;SAG Awards - Melhor Elenco;Crash
2007;SAG Awards - Melhor Elenco;Little Miss Sunshine
2008;SAG Awards - Melhor Elenco;No Country for Old Man
2009;SAG Awards - Melhor Elenco;Slumdog Millionaire
2010;SAG Awards - Melhor Elenco;Inglourious Basterds
2011;SAG Awards - Melhor Elenco;The King's Speech
2012;SAG Awards - Melhor Elenco;The Help
2013;SAG Awards - Melhor Elenco;Argo
2014;SAG Awards - Melhor Elenco;American Hustle
2015;SAG Awards - Melhor Elenco;Birdman or (The Unexpected Virtue of Ignorance)
2016;SAG Awards - Melhor Elenco;Spotlight
2017;SAG Awards - Melhor Elenco;Hidden Figures
2018;SAG Awards - Melhor Elenco;"Three Billboards Outside Ebbing; Missouri"
2019;SAG Awards - Melhor Elenco;Black Panther
2020;SAG Awards - Melhor Elenco;Gisaengchung
2021;SAG Awards - Melhor Elenco;The Trial of the Chicago 7
2022;SAG Awards - Melhor Elenco;CODA
2023;SAG Awards - Melhor Elenco;Everything Everywhere All at Once
2024;SAG Awards - Melhor Elenco;Oppenheimer
