Ano;Premiacao;Filme
2004;Prêmios Satellite de Melhor Filme de Drama;Sideways - Entre Umas e Outras / Sideways
2005;Prêmios Satellite de Melhor Filme de Drama;Johnny & June / Walk the Line
2006;Prêmios Satellite de Melhor Filme de Drama;Dreamgirls - Em Busca de um Sonho / Dreamgirls
2007;Prêmios Satellite de Melhor Filme de Drama;Juno
2008;Prêmios Satellite de Melhor Filme de Drama;Simplesmente Feliz / Um Dia de Cada Vez
2009;Prêmios Satellite de Melhor Filme de Drama;Nine
2010;Prêmios Satellite de Melhor Filme de Drama;Scott Pilgrim vs. the World
2018;Prêmios Satellite de Melhor Filme de Drama;A Star Is Born
2019;Prêmios Satellite de Melhor Filme de Drama;Era Uma Vez Em... Hollywood
2020;Prêmios Satellite de Melhor Filme de Drama;The Forty-Year-Old Version
2021;Prêmios Satellite de Melhor Filme de Drama;"Tick; Tick... Boom!"
2022;Prêmios Satellite de Melhor Filme de Drama;Everything Everywhere All at Once
2023;Prêmios Satellite de Melhor Filme de Drama;The Holdovers
2004;Prêmios Satellite de Melhor Filme de Drama;Hotel Ruanda
2005;Prêmios Satellite de Melhor Filme de Drama;O Segredo de Brokeback Mountain
2006;Prêmios Satellite de Melhor Filme de Drama;Os Infiltrados / Entre Inimigos
2007;Prêmios Satellite de Melhor Filme de Drama;Onde os Fracos Não Têm Vez / Este País Não é Para Velhos
2008;Prêmios Satellite de Melhor Filme de Drama;Quem Quer Ser Um Milionário? / Quem Quer Ser Um Bilionário?
2009;Prêmios Satellite de Melhor Filme de Drama;Guerra ao Terror / Estado de Guerra
2018;Prêmios Satellite de Melhor Filme de Drama;If Beale Street Could Talk
2019;Prêmios Satellite de Melhor Filme de Drama;Ford vs. Ferrari / Le Mans '66: O Duelo
2020;Prêmios Satellite de Melhor Filme de Drama;Nomadland / Nomadland - Sobreviver na América
2010;Prêmios Satellite de Melhor Filme de Drama;A Rede Social
2011;Prêmios Satellite de Melhor Filme de Drama;Os Descendentes
2012;Prêmios Satellite de Melhor Filme de Drama;O Lado Bom da Vida / Guia para um Final Feliz
2013;Prêmios Satellite de Melhor Filme de Drama;12 Anos de Escravidão / 12 Anos Escravo)
2014;Prêmios Satellite de Melhor Filme de Drama;Birdman or (The Unexpected Virtue of Ignorance)
2015;Prêmios Satellite de Melhor Filme de Drama;Spotlight - Segredos Revelados / O Caso Spotlight
2016;Prêmios Satellite de Melhor Filme de Drama;La La Land - Cantando Estações / La La Land - Melodia de Amor
2017;Prêmios Satellite de Melhor Filme de Drama;God's Own Country
