Ano;Premiacao;Filme
2004;Prêmios Satellite de Melhor Filme;Sideways - Entre Umas e Outras / Sideways
2005;Prêmios Satellite de Melhor Filme;Johnny & June / Walk the Line
2006;Prêmios Satellite de Melhor Filme;Dreamgirls - Em Busca de um Sonho / Dreamgirls
2007;Prêmios Satellite de Melhor Filme;Juno
2008;Prêmios Satellite de Melhor Filme;Simplesmente Feliz / Um Dia de Cada Vez
2009;Prêmios Satellite de Melhor Filme;Nine
2010;Prêmios Satellite de Melhor Filme;Scott Pilgrim vs. the World
2018;Prêmios Satellite de Melhor Filme;A Star Is Born
2019;Prêmios Satellite de Melhor Filme;Era Uma Vez Em... Hollywood
2020;Prêmios Satellite de Melhor Filme;The Forty-Year-Old Version
2021;Prêmios Satellite de Melhor Filme;"Tick; Tick... Boom!"
2022;Prêmios Satellite de Melhor Filme;Everything Everywhere All at Once
2023;Prêmios Satellite de Melhor Filme;The Holdovers
