Ano;Premiacao;Filme
2004;Gotham Independent Film Award for Best Feature;Sideways
2005;Gotham Independent Film Award for Best Feature;Capote
2006;Gotham Independent Film Award for Best Feature;Half Nelson
2007;Gotham Independent Film Award for Best Feature;Into the Wild
2008;Gotham Independent Film Award for Best Feature;Frozen River
2009;Gotham Independent Film Award for Best Feature;The Hurt Locker
2010;Gotham Independent Film Award for Best Feature;Winter's Bone
2011;Gotham Independent Film Award for Best Feature;Beginners The Tree of Life
2011;Gotham Independent Film Award for Best Feature;Fox Searchlight Pictures
2012;Gotham Independent Film Award for Best Feature;Moonrise Kingdom
2013;Gotham Independent Film Award for Best Feature;Inside Llewyn Davis
2014;Gotham Independent Film Award for Best Feature;Birdman
2015;Gotham Independent Film Award for Best Feature;Spotlight
2016;Gotham Independent Film Award for Best Feature;Moonlight
2017;Gotham Independent Film Award for Best Feature;Call Me by Your Name
2018;Gotham Independent Film Award for Best Feature;The Rider
2019;Gotham Independent Film Award for Best Feature;Marriage Story
2020;Gotham Independent Film Award for Best Feature;Nomadland
2021;Gotham Independent Film Award for Best Feature;The Lost Daughter
2022;Gotham Independent Film Award for Best Feature;Everything Everywhere All at Once
2023;Gotham Independent Film Award for Best Feature;Past Lives
2024;Gotham Independent Film Award for Best Feature;A Different Man

