Ano;Premiacao;Filme;
2004;BAFTA;The Aviator;
2005;BAFTA;Brokeback Mountain;
2006;BAFTA;The Queen;
2007;BAFTA;Atonement;
2008;BAFTA;Slumdog Millionaire;
2009;BAFTA;The Hurt Locker;
2010;BAFTA;The King's Speech;
2011;BAFTA;The Artist;
2012;BAFTA;Argo;
2013;BAFTA;12 Years a Slave;
2014;BAFTA;Boyhood;
2015;BAFTA;The Revenant;
2016;BAFTA;La La Land;
2017;BAFTA;Three Billboards Outside Ebbing;
2018;BAFTA;Roma;
2019;BAFTA;1917;
2020;BAFTA;Nomadland;
2021;BAFTA;The Power of the Dog;
2022;BAFTA;All Quiet on the Western Front;
2023;BAFTA;Oppenheimer;
2004;DGA;Million Dollar Baby;
2005;DGA;Brokeback Mountain;
2006;DGA;The Departed;
2007;DGA;No Country for Old Men;
2008;DGA;Slumdog Millionaire;
2009;DGA;The Hurt Locker;
2010;DGA;The King's Speech;
2011;DGA;The Artist;
2012;DGA;Argo;
2013;DGA;Gravity;
2014;DGA;Birdman;
2015;DGA;The Revenant;
2016;DGA;La La Land;
2017;DGA;The Shape of Water;
2018;DGA;Roma;
2019;DGA;1917;
2020;DGA;Nomadland;
2021;DGA;The Power of the Dog;
2022;DGA;Everything Everywhere All at Once;
2023;DGA;Oppenheimer;
2024;DGA;Emilia Perez;
2004;GlobodeOuro;The Aviator;
2005;GlobodeOuro;Brokeback Mountain;
2006;GlobodeOuro;Babel;
2007;GlobodeOuro;Atonement;
2008;GlobodeOuro;Slumdog Millionaire;
2009;GlobodeOuro;Avatar;
2010;GlobodeOuro;The Social Network;
2011;GlobodeOuro;Os Descendentes;
2012;GlobodeOuro;Argo;
2013;GlobodeOuro;12 Years a Slave;
2014;GlobodeOuro;Boyhood;
2015;GlobodeOuro;The Revenant;
2016;GlobodeOuro;Moonlight;
2017;GlobodeOuro;Three Billboards Outside Ebbing;
2018;GlobodeOuro;Bohemian Rhapsody;
2019;GlobodeOuro;1917;
2020;GlobodeOuro;Nomadland;
2021;GlobodeOuro;The Power of the Dog;
2022;GlobodeOuro;The Fabelmans;
2023;GlobodeOuro;Oppenheimer;
2004;Gotham;Sideways;
2005;Gotham;Capote;
2006;Gotham;Half Nelson;
2007;Gotham;Into the Wild;
2008;Gotham;Frozen River;
2009;Gotham;The Hurt Locker;
2010;Gotham;Winter's Bone;
2011;Gotham;Beginners The Tree of Life;
2011;Gotham;Fox Searchlight Pictures;
2012;Gotham;Moonrise Kingdom;
2013;Gotham;Inside Llewyn Davis;
2014;Gotham;Birdman;
2015;Gotham;Spotlight;
2016;Gotham;Moonlight;
2017;Gotham;Call Me by Your Name;
2018;Gotham;The Rider;
2019;Gotham;Marriage Story;
2020;Gotham;Nomadland;
2021;Gotham;The Lost Daughter;
2022;Gotham;Everything Everywhere All at Once;
2023;Gotham;Past Lives;
2024;Gotham;A Different Man;
